SEESION ID,TIME,ABSTRACT ID,TITLE,PRESENTER,VIA
ICTMS1,11:00-11:15,188,AN APPLICATION OF GRAPH THEORY IN ASYMMETRIC KEY CRYPTOGRAPHY,Kaveesha Naduni Fernando,
ICTMS1,11:15-11:30,193,CHARACTERIZATION OF A CLASS OF INNER TORAL POLYNOMIALS VIA BLASCHKE PRODUCTS,Prabash S.H Premarathna,
ICTMS1,11:30-11:45,203,"RELATIONSHIP BETWEEN THE KAUFFMAN BRACKET POLYNOMIALS OF TORUS KNOTS: (T_(3,3n+1) ) AND (T_(3,3n+2))",Wayani N Dissanyake,
ICTMS1,11:45-12:00,204,MAXIMAL EMBEDDING GENUS OF 3-EDGE CONNECTED HARARY GRAPHS,Kavindu D.H Withanaarachchi,
ICTMS1,12:00-12:15,205,THE RAINBOW CONNECTION NUMBER OF THE EXTENDED VERSION OF SANDAT GRAPH,Maheshi M.K. Dheerasinghe,
ICTMS2,2:00-2:15,53,EXPLICIT FINITE DIFFERENCE METHOD FOR THE VALUATION OF AMERICAN PUT OPTION USING LOGARITHMIC FRONT FIXING TRANSFORMATION,P. Selvarajah,
ICTMS2,2:15-2:30,140,CONVERGENCE OF FINITE DIFFERENCE METHOD FOR AGE-STRUCTURED TWO-SEX POPULATION DYNAMICS MODEL FOR THALASSEMIA TRANSMISSION,AMP Chandrasiri,
ICTMS2,2:30-2:45,184,ASYMPTOTIC DYNAMICS OF A PERIODIC TOXIN PRODUCING PHYTOPLANKTON MODEL,Piumi Dilshani,
ICTMS2,2:45-3:00,185,MODELING THE IMAGE QUALITY ON THE RETINA WITH VARIABILITY OF WAVEFRONT MEASUREMENTS,Saroja Lakshmi,
ICTMS2,3:00-3:15,191,A MATHEMATICAL MODEL FOR THE SPREAD OF COVID-19 IN SRI LANKA WITH THE ENVIRONMENTAL TRANSMISSION OF CORONAVIRUS,Nirosha Dissanayake,
ICTMS3,08:00-08:15,2,ASSESSING AGREEMENT BETWEEN TWO MEASUREMENT SYSTEMS USING REPLICATED SCALE MIXTURES OF SKEW-NORMAL MEASUREMENT ERROR MODELS WITH VARYING DEGREES OF FREEDOM,Jeevana Duwarahan,
ICTMS3,08:15-08:30,47,"COMPARISON OF THE PREDICTIVE PERFORMANCE OF LIU BASED ESTIMATORS.",Thayaparan Kayathiri,
ICTMS3,08:30-08:45,106,GENERALIZED LAMBDA DISTRIBUTION BASED QUANTILE REGRESSION MODEL TO ANALYZE THE EXCHANGE RATE MOVEMENTS IN SRI LANKA,Pavithra M Basnayake,
ICTMS3,08:45-09:00,146,"AN ANALYSIS ON SELECTED VARIABLES INFLUENCING CESAREAN SECTION OF PREGNANT MOTHERS ADMITTED IN THE AMPARA GENERAL HOSPITAL",Garumuni I.C.L De Zoysa,
ICTMS3,09:00-09:15,156,"TIME SERIES ANALYSIS FOR MODELING AND FORECASTING TEA EXPORTS IN SRI LANKA",Thelum T Wickramasurendra,
ICTMS4,11:15-11:30,25,"ENSEMBLE LEARNING APPROACH FOR YOUTUBE VIDEOS CLASSIFICATION BASED ON THEIR QUALITY",N.H.T.M. De Siva,
ICTMS4,11:30-11:45,44,DECISION TREE ALGORITHMS TO DETERMINE GCE ORDINARY LEVEL STUDENT PERFORMANCE FACTORS INFLUENCING ENGLISH AS A SUBJECT,Amila H.A.K.B Pinnawala,
ICTMS4,11:45-12:00,110,"COMBINING FASTTEXT EMBEDDINGS WITH NEURAL NETWORKS FOR SHORT TEXT CLASSIFICATION",Kithsrii JRKC jayakody,
ICTMS4,12:00-12:15,168,"CLASSIFICATION OF SINHALA NEWS USING MACHINE LEARNING APPROACHES",Deshan H Nawarathna,
ICTMS5,1:30-1:45,40,STUDY ON h-FUNCTION OF A BOUNDED SIMPLY CONNECTED REGION: DISC WITH DELETED DOUBLE SLITS,Arunmaran Mahenthiram,
ICTMS5,1:45-2:00,12,A MEMETIC ALGORITHM FOR THE VEHICLE ROUTING PROBLEM WITH MOVING SHIPMENTS AT THE CROSS-DOCKING WAREHOUSE,Reyalt Gnanapragasam,
ICTMS5,2:00-2:15,59,Fuzzy Inference System to Identify Disaster Risk Levels in Sri Lanka,Sachini P Karunarathne,
ICTMS5,2:15-2:30,73,MANUFACTURERS AND BUYERS INTEGRATED PRODUCTION INVENTORY MODEL WITH BETTER SYNCHRONIZATION,M.S.M Hisam,
ICTMS5,2:30-2:45,80,THE ROLE OF BILINGUALISM IN THE REVIVAL OF A DEAD LANGUAGE: MANX IN ISLE OF MAN,Chami P Kariyapperuma,
ICTMS5,2:45-3:00,85,A NEW METHOD USING THE GEOMETRIC MEAN TO SOLVE TETRAD FUZZY TRANSPORTATION PROBLEMS,Tharika D.K Ekanayake,
LS1,11:00-11:15,5,"ETHNOBOTANY OF MEDICINAL PLANTS IN TREATING DIABETES MELLITUS AMONG INDIGENOUS MEDICAL PRACTITIONERS IN JAFFNA, SRI LANKA",P.N. Niluka,
LS1,11:15-11:30,15,EVALUATION OF TOXICITY OF AQUEOUS EXTRACT OF HEMIDESMUS INDICUS R. BR. (IRAMUSU) USING BRINE SHRIMP ASSAY,H.D.T. Madhuranga,
LS1,11:30-11:45,39,TOXICITY OF HYLOCEREUS POLYRHIZUS SEEDS USING BRINE SHRIMP ASSAY,Kalidha M.R. Farween,
LS1,11:45-12:00,46,REVIEW ON SRI LANKAN MEDICINAL PLANTS WITH POTENT TYROSINASE INHIBITORY ACTIVITY (A PRELIMINARY REVIEW),Ayeshi Gunarathne,
LS1,12:00-12:15,117,BIOACTIVITY STUDIES OF ALPINIA CALCARATA AND GLORIOSA SUPERBA LEAVES EXTRACTS,Thyangi Anushka Ekanayaka,
LS1,12:15-12:30,123,BIOACTIVITY STUDIES OF SOLVENT EXTRACTS OF PIPER NIGRUM SEEDS,Sanjana Sithumini Gamaarachchi,
LS1,12:30-12:45,153,"MORPHOMETRIC ANALYSIS OF GENUS PIPER (PIPERACEAE), SRI LANKA",Bhathiya Bandara Gopallawa,
LS2,11:00-11:15,57,FIRST MOLECULAR PHYLOGEOGRAPHIC AFFINITIES OF SAW-SCALED VIPER OF THE GENUS ECHIS (SERPENTES: VIPERIDAE) FROM SRI LANKA,Murugananthan Arumugam,
LS2,11:15-11:30,88,CHALLENGES IN CONTROLLING INSECT PESTS OF STORED GRAIN PRODUCTS IN SRI LANKA: INSIGHTS INTO INSECTICIDE METABOLIZING ENZYMES AND TARGET-SITE ALTERATIONS,Vaishali G.N.P. Anuradha,
LS2,11:30-11:45,125,"DIVERSITY OF ICHTHYO FAUNA AT THE UPPER NORTHERN BASIN OF THONDAMANARU LAGOON, JAFFNA, SRILANKA",S. Aniththa,
LS2,11:45-12:00,138,"Microplastics contamination in Indian backwater oysters (Magallana bilineata) in the Panadura estuary, Sri Lanka.",Shamila Nawarathna,
LS2,12:00-12:15,166,ETHNOMEDICAL SURVEY ON SRI LANKAN HASTI VEDAKAMA; A STUDY BASED ON ELEPHANT CLUSTER AT THE TEMPLE OF THE TOOTH RELIC,Gayumi H.K. Athapaththu,
LS2,12:15-12:30,192,IMPACT OF HABITAT TYPE AND FLORAL RESOURCE AVAILABILITY ON GROUND-NESTING BEE ESTABLISHMENT IN AN AGRO-NATURAL LANDSCAPE,Deepthi Ekanayake,
LS3,2:00-2:15,10,CUTICLE THICKNESS OF LARVAE OF PYRETHROID RESISTANT CULEX QUINQUEFASCIATUS MOSQUITOES IN SRI LANKA,Sachini N Palliyaguruge,
LS3,2:15-2:30,11,MOSQUITOCIDAL POTENTIAL OF ETHANOLIC ALLIUM SATIVUM (GARLIC) EXTRACTS AGAINST AEDES AND CULEX MOSQUITO LARVAE IN SRI LANKA,Waruni N. Rajapaksha,
